Name,Address,SIPS_URL,Website,Latitude,Longitude,SIPS_COCKTAILS,SIPS_WINE,SIPS_BEER,SIPS_HALFPRICEDAPPS
The Cauldron Philly,"1305 Locust St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#the-cauldron-philly,https://thecauldron.io/philly,39.94822305,-75.16258978901713,"The Blob - Hornitos tequila blanco, italicus, blue curacao, lime.
Big, Blue, Bold. It‘s coming to get you!
The Cauldron Truth Serum - Cucumber and citrus infused gin, fresh lime, elderflower liqueur, simple.
Seasonal Espresso Martini - Vodka, Kahlua, Housemade Espresso, Simple.","Cabernet
Chardonnay
Pinot Grigio
Pinot Noir","Peroni
Yards Pale Ale
Mango Cart","Proper Chips
Pigs in a Blanket
Crispy Brussel Sprouts
Stay here after SIPS and get 15% off dinner!"
Cavanaugh's Rittenhouse,"1921 Sansom Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#cavanaugh-s-rittenhouse,http://www.cavsrittenhouse.com,39.9512302244898,-75.17248230612246,"Paloma
Tequila Soda",All House Wines,Michelob Ultra,"Mozzarella Sticks
Pierogies
1/2lb Nuggets"
Chris' Jazz Cafe,"1421 Sansom St, Philadelphia, PA 19110",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#chris-jazz-cafe,http://www.PhillyJazz.com,39.9503498,-75.16537,"Mexican Lime Mule (Hornitos), Hornitos Margarita","Cielo Pinot Grigio
Kaleu Cabernet Sauvignon
Kaleu Merlot",Coors Banquet Draft Beer,"$5 Snacks:
Mac & Cheese - Butter Bread Crumb and Parsley
Truffle Parmesan Fries
Tater Tots - With Homemade Fried Long Hot Aioli
Chicken Spring Rolls - With Wasabi Dijon and Soy Cucumber
Cheesesteak Eggroll - With Sriracha Ketchup
Asian Pork Tacos - With Tide Water Cole Slaw
Fried Mozzarella Triangles - With Marinara Sauce
Chicken Parmesan Pizza"
City Tap House Logan Square,"2 Logan Square, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#city-tap-house-logan-square,http://citytaphouselogan.com,39.9557354,-75.16978277965157,,,,
Con Murphy's Irish Pub,"1700 Ben Franklin Pkwy, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#con-murphy-s-irish-pub,http://www.conmurphyspub.com,39.9556532,-75.16821887769059,,,,
Continental Midtown,"1801 Chestnut St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#continental-midtown-2,https://continentalmidtown.com,39.9518174,-75.1704471,,,,
Darling Jack's Tavern,"104 South 13th Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#darling-jack-s-tavern,http://www.darlingjacks.com,39.94968529591837,-75.1618743979592,"Blood Orange Margarita - Hornitos blanco, blood orange puree, orange, lime","Chardonnay
Cabernet",Rotating local selection,"Peas + Ricotta
Spring Salad
Coal Grilled Asparagus
Latkes + Smoked Trout"
Devil's Alley,"1907 Chestnut St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#devil-s-alley,http://www.devilsalleybarandgrill.com,39.9521305,-75.17220074921535,,,,
Devon Seafood Grill,"225 S 18th St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#devon-seafood-grill,http://www.devonseafood.com,39.949230400000005,-75.17026505176388,,,,
Dim Sum House by Jane G's,"1930 Chestnut St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#dim-sum-house-by-jane-g-s,http://dimsum.house,39.95182435,-75.1733266192953,,,,
Dolce Italian,"1437 Chestnut Street, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#dolce-italian,http://www.dolceitalianrestaurant.com/location/philadelphia,39.95103293877551,-75.16462357142858,"Italian Paloma - Hornitos blanco, aperol, pamplemousse, lime, agave
Cucumber Gimlet - Cucumber infused vodka, simple syrup, lime","Rose
Sauvignon Blanc on draft
House Cab
House Pinot Grigio","Peroni, hazy bone, miller light","Margherita pizza $10
Dolce meatballs 2 balls $10
fritto misto $12
caprese $10
Stay here after SIPS and get 15% off dinner!"
Double Knot,"120 S 13th St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#doubleknot,https://www.doubleknotphilly.com,39.949601540816325,-75.16189252040817,,,,
Drinker's Pub,"1903 Chestnut St., Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#drinker-s-pub,http://www.drinkersrittenhouse.com,39.95207685,-75.17207610135814,Hornitos Paloma,"Pinot Grigio
Pinot Noir",1/2 price on all drafts,"$1 Tacos - Chicken, Beef, Bean, or Veggie Beef"
Drury Beer Garden (DBG),"1311 Sansom St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#drury-beer-garden-dbg,http://www.drurybeergarden.com,39.9499718,-75.1624278,,,,
Elephant,"1500 Locust Street, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#elephant,,39.94824265,-75.16654758167297,,,,
Finn McCools Ale House,"118 S 12th Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#finn-mccools-ale-house,http://www.finnmccoolsphilly.com,39.9497363,-75.1604902,,,,
Flambo Caribbean Restaurant,"205 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#flambo-caribbean-restaurant,http://www.flamboh.com,39.9485068,-75.16197684943853,,,,
The Franklin Mortgage & Investment Company,"1715 Rittenhouse Square, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#franklin-mortgage-investment-company,http://thefranklinbar.com,39.94832142857143,-75.169697,,,,
Giuseppe and Sons,"1523 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#giuseppe-and-sons,https://giuseppesons.com,39.950452346938775,-75.16619875510204,,,,
The Goat Rittenhouse,"1907 Sansom St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#the-goat-rittenhouse,https://www.thegoatrittenhouse.com,39.95120836734694,-75.17230359183674,,,,
Gran Caffe L'Aquila,"1716 Chestnut St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#gran-caffe-l-aquila,http://grancaffelaquila.com,39.95118775,-75.16953315949416,"Margarita Calabrese - Hornitos Tequila, Caffo Orange Liqueur, fresh squeezed lemon & a limoncello kiss.","Bianco: Falanghina Sanino - Historic white featuring wild flower aroma & a dry crisp finish
Rosso: Bardolino Classico - Medium body featuring notes of black currant & spice.",Peroni - The Original Italian Lager. A high quality malt & hop lager,"Assaggi - Italian for Small Bites
Bruschetta - One slice of fire roasted rustic bread topped with roasted pepper caponata $3.5 Add Fior di Latte Mozzarella $4.9
Truffled Parmigiano Fries - Crispy fries topped with Parmigiano & Truffle accents $5.9
Arancini - Sicilian rice ball filled with a veal & pork ragu, fior di latte mozzarella, peas, & tomato sauce. $5.9
Melanzana Parmigiana - Italian eggplant, fresh ricotta, fior di latte mozzarella & tomato sauce layered & baked to perfection. $6.9
Carciofi Fritti - Flash fried artichokes served with fresh lemon $6.5"
Hard Rock Cafe,"1113 Market St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#hard-rock-cafe,https://www.hardrockcafe.com/location/philadelphia,39.9520644,-75.1595415,,House Wine,,
Harp & Crown,"1525 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#harp-crown1,http://harpcrown.com,39.9505401,-75.1668604,,,,
The Hayes,"1123 Walnut Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#the-hayes,http://www.thehayesphl.com,39.9489302,-75.1600819,,,,
Hi-lo Taco Co.,"1109 Walnut Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#hi-lo-taco,https://www.hilotacoco.com,39.9488634,-75.159579,"Dirty Martina - Hornitos Blanco, herbal liquor, house pickle brine
Hi-Lo Margarita -Tequila, lime, agave
Ranch Water - Super sparkling water, orange liquor, choice of tequila or vodka","Pinot Grigio
Pinot Noir",Tecate,"Jumbo Buffalo Wings - Smoked and fried with house buffalo sauce
Jumbo BBQ Wings - Smoked and fried with guajillo bbq sauce
Chips & White Cheddar Queso
Dip Trio - Chips with Queso, Guacamole & Salsa"
High Street,"101 S. 9th Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#high-street,http://HighStreetPhilly.com,39.948915,-75.155572,"Basil Temperature - Hornitos, basil tincture, strega, lime",House Rosé,Love City 'Eraserhood' Hazy IPA,"Black Garlic Knots
Tonnato Deviled Eggs
Daily Bread + Butter
Warm Olives"
Howl at the Moon,"258 S 15th St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#howl-at-the-moon,http://howlatthemoon.com,39.9476975,-75.1665331,,,,
Independence Beer Garden,"100 S Independence Mall W, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#independence-beer-garden,http://phlbeergarden.com,39.948356,-75.151069,,,,
Iron Hill Brewery & Restaurant,"1150 Market Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#iron-hill-brewery-restaurant,https://ironhillbrewery.com/location/philadelphia-pa,39.9517161,-75.1595773,"Margarita -Hornitos Tequila, triple sec, sour mix
Mojito -Rum, lime juice, simple syrup, mint
Vodka Lemonade - Vodka, triple sec, house lemonade
Whiskey Sour  - Whiskey, triple sec, sour mix","House White
House Red","Iron Hill Light Lager
Vienna Red Lager
Homestead Farmhouse Ale
Brambleberry Farmhouse Ale
Sunny in Pils-adelphia
Pig Iron Porter
Philly Phavorite IPA","Fried Chicken Sandwich $4
Cheddar Bacon Cheese Puffs $4
Southwest Veggie Quesadilla $5.50
Beer Cheese Dip $5"
Kook Burger & Bar,"2102 Market St., Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#kook-burger-bar,https://www.kookburgerbar.com,39.953743387755104,-75.17528855102042,,,,
Ladder 15,"1528 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#ladder-15,http://www.ladder15philly.com,39.95027665,-75.166953880266,,,,
Libertine,"261 S. 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#libertine,http://www.libertinephilly.com,39.9468161,-75.1624829,,"Pinot Grigio
Chardonnay
Sauvignon Blanc
Tempranillo, Nebbiolo
Malbec",Assorted locals (some under $5),"BBQ Chicken Flatbread
Baked Brie with Fig Jam
Cheesesteak EggrollsPlus
Many more!
Stay here after SIPS and get 15% off dinner!"
Lucy's Bar,"1720 Chestnut St., Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#lucys-bar,http://lucysphiladelphia.com,39.9513917,-75.16962680674511,"Hornitos Mango Margarita - Hornitos, Triple Sec, Lime juice, Mango",White Wine,Tecate,"Garlic Butter Soft Pretzel Bites
Fried Cheese Curds"
Marathon 16th & Sansom,"121 S 16th St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#marathon-16th-sansom,http://www.eatmarathon.com,39.9504294,-75.1672599,Hornitos Hornitos Peach or Blackberry Margaritas,House Red or White,Michelob UItra,"All $6 & $7
Chicken Wings
Cheese Steak Nachos
Brisket Fries, Flat Bread
Chicken Tacos
Cheeseburger Sliders
Buffalo Cauliflower
Fire Roasted Salsa & Chips between"
Misconduct Tavern,"1801 John F Kennedy Blvd, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#misconduct-tavern,http://misconducttavern.com,39.954295,-75.169931,Paloma,All House Wines,Bud Light,"Mozzarella Sticks
Cheesesteak Empanada
Fried Pickles
Onion rings"
Miss Saigon Vietnamese Restaurant and Lounge,"1316 Walnut St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#miss-saigon,http://misssaigonphilly.com,39.94895255,-75.16287297233274,,,,
Morea,"110 South 11th St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#morea,https://moreaphilly.com,39.9497889,-75.1589017,"Heat of the Night - Hornitos Tequila, mango, agave
Aperol Spritz - Aperol, prosecco, club soda",Rose,Yards IPA,"$5 - Shrimp Fried Rice - Carrots, celery, egg, scallions, tamari sauce
$8 - 2 Blackened Fish Tacos - Tilapia with homemade pico, avocado crema, red cabbage on flour tortillas
$7 - Zucchini and Cauliflower Tempura - Tempura vegetables with ginger soy dipping sauce"
The Morris,"225 S 8th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#the-morris,http://themorrisphilly.com,39.94736765,-75.1541071516432,,,,
The Mulberry on Arch,"1835 Arch St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#the-mulberry-on-arch,https://www.themulberryphl.com,39.95565685,-75.1707803663445,,,,
Nabrasa Brazilian Steakhouse,"1901 John F Kennedy Blvd, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#nabrasa-brazilian-steakhouse,http://nabrasa.com,39.9547162,-75.17199871989948,"Passion Fruit Margarita - Hornitos, Agave, Passion Fruit & Lime Juice Amazon Princess - Hornitos Tequila, passion fruit, mango, guava, and agave syrup","Canyon Oaks Chardonnay
Canyon Oaks Merlot","Bud Light
Yuengling Traditional Lager
Corona Extra","$6 - Wings - 5 Wings, carrots, celery, bleu cheese or ranch. Mild | Hot | Garlic Parmesan | Bourbon BBQ | Sesame Honey 
$8 - Seafood Salad - Shrimp, scallops, calamari, olive oil, cilantro, onions, lemon juice 
$ 6 - Brazilian Pastel- Deep-fried thin dough filled with provolone cheese and served with malagueta pepper jelly"
Patchwork,"1620 Chancellor St., Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#patchwork,https://patchworkphilly.com,39.94923025,-75.16871865087047,,,,
Pearl & Mary,"114 S 13th St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#pearl-mary,https://www.pearlandmary.com,39.94963294897959,-75.1618857244898,"Paloma -Hornitos Tequila, Grapefruit, Soda Gimlet: Vodka, Lime, Simple","Spinelli Pinto Grigio
Barbara Rose
Cardiff Merlot
Fet d'Or Sparkling",Love City Lager,"clam $1
oyster $2
shrimp $3
daily crudo $7
chicken sandwich $7
smash burger $7
fish sandwich $7
mussel toast $3
deviled eggs $4
fish fritter $6
fries $4"
Pizzeria Vetri Rittenhouse,"1615 Chancellor St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#pizzeria-vetri-rittenhouse,http://pizzeriavetri.com,39.9493994,-75.16841,Seasonal draft cocktails selection - Citrus Margarita,Seasonal draft wine selection,Seasonal draft beer selection,"$10 Selected Pizza (Margherita, Marinara, Maurizio)"
Prunella,"112 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#prunella,https://prunellaphl.com,39.949643418367344,-75.16188345918368,,,,
Restaurant Aleksandar,"126 S 19th Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#restaurant-aleksandar-2,,39.9513407,-75.1705557,,,,
Sampan,"124 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#sampan7,http://www.sampanphilly.com,39.9495191,-75.1622021,,,,
Strangelove's,"1112 Chestnut Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#strangeloves,http://strangelovesbeerbar.com,39.9500571,-75.15919018539793,,,,
Sueno,"114 S. 12th St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#sueno,http://suenophilly.com,39.9498686,-75.1606032,,,,
Sura Indian Bistro,"1726 Chestnut St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#sura-indian-bistro,https://www.surabistro.com,39.9515042,-75.1698515,"Jango Mango - Hornitos Tequila, House Special Mango Puree
Endless Summer -Vodka, Elderflower Liqueur, Ginger Syrup","Valdinevola Italy Pinot Grigio
Valdinevola Italy Cabernet / Merlot Blend","Troegs Perpetual IPA
Love City Lager","Veggie Samosa $4
Pastry Shell Filled with Potatoes and Green Peas, Served with House Mint Sauce

Chicken 65 $7
Chicken Sautéed in Tangy “65” Sauce with Cilantro & Sesame

Amritsari Fish Fry $7
North Indian Style Fish Fingers Coated with Chickpeas Flour and Cardamom Seeds"
Taste Cheesesteak Bar,"1809 John F Kennedy Blvd, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#taste-cheesesteak-bar,https://www.tastecheesesteaks.com,39.954307081632656,-75.17003385714285,"Drop your location lemon drop with Hornitos $7 
The NTN90 Crown Apple mule $7 
Jolly Rancher $6 
House Margarita $6 
Tequila Sunrise $6 
House Punch $6",,,"Chicken wings and French fries $12
Chicken Cheesesteak roll w/ French fries $14 
Beef Cheesesteak Roll w/ French fries $14"
Thanal Indian Tavern,"1939 Arch Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#thanal-indian-tavern,https://www.thanalphilly.com,39.95573105,-75.17256255460606,"Moscow Mule
Thanal Craft Cocktail
Tamarind Margarita
Mango Margarita","Malbec
Merlot
Pinot Noir","King Fisher
Taj Mahal
Yuengling Lager
Blue Moon
Sam Adam","Chicken 65
Onion Pakoda
Sundal"
Time Restaurant,"1315 Sansom St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#time-restaurant,http://www.timerestaurant.net,39.95005455,-75.16263828278235,"The Swifty: Hornito's tequila, Aperol, lime juice, cranberry juice, ginger beer.","Merlot
Pinot Grigio",Kenzinger,"Deviled eggs
Pulled pork sliders
Mussels in red sauce"
Tir Na Nog Irish Bar & Grill,"1600 Arch St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#tir-na-nog-irish-bar-grill,http://www.tirnanogphilly.com,39.9544332,-75.1667563,,,,
Top Tomato Bar & Pizza,"116 S 11th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#top-tomato-bar-pizza,https://www.toptomatophilly.com,39.9495956,-75.15896866873356,,,,
Tradesman's,"1322 Chestnut Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#tradesman-s,https://tradesmansphl.com,39.9506137,-75.1627406,,,,
Treble & Bass,"219 S Broad Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#treble-bass,https://www.cambriaphiladelphia.com/en-us/dining,39.94879404797663,-75.16456372497444,,,,
Uptown Beer Garden,"1735 John F Kennedy Blvd, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#uptown-beer-garden,http://www.bruphilly.com,39.95415773469388,-75.16879210204081,,,,
Veda - Modern Indian Bistro,"1920 Chestnut St., Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#veda-modern-indian-bistr,http://vedaphilly.com,39.95175635,-75.17289475578013,"Spicy Margarita - Chili Infused Hornitos Plata Tequila, Agave, fresh Lime juice
Tropical Margarita - Tequila, Pineapple juice, Orange juice, Agave, Lime juice, Blue Curacao","House Red Wine
House White Wine","Kingfisher Lager
Rupee Beer","Goat Cheese Naan - $3
Lassoni Gobi - $4
Crispy Spinach Chaat - $4
Calcutta Pork Ribs - $5
  Stay here after SIPS and get 15% off dinner!"
Via Locusta,"1723 Locust St,  Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#via-locust,https://www.vialocusta.com,39.94891916326531,-75.16961781632654,,,,
