Name,Yelp Alias,RESERVATION_LINK,Address,Latitude,Longitude,Website,Categories,Price,Review_Count,SIPS_PARTICIPANT,RW_PARTICIPANT,Neighborhoods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Smoking,Yelp_Rating,Popularity,Parking,Best_Nights,Payment,Minority_Owned,Good_For,Offers,Options,Vibes,Accessibility,Dogs_Allowed,Packaging,Reservation_Type,Seating,Meal_Types,Music,Alcohol_Options,Amenities
1225 Raw Sushi and Sake Lounge,1225raw-sushi-and-sake-lounge-philadelphia-2,,"1225 Sansom St, Philadelphia, PA 19102",39.94977845,-75.16082182,https://1225rawnledas.com,"['Japanese', 'Sushi Bars', 'Korean']",$$,582.0,N,N,,Closed,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 10:00 PM,,3.7,60.0,"Street Parking, Bike Parking, Validated Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Trendy, Classy, Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Wi-Fi"
1518 Bar and Grill,1518-bar-and-grill-philadelphia,,"1518 Sansom St, Philadelphia, PA 19102",39.950239,-75.16664344,http://www.1518barandgrill.com,"['Bars', 'American (Traditional)']",$$,251.0,N,N,"Penn Center, Rittenhouse Square",11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,,3.9,61.0,"Street Parking, Bike Parking","Thursday, Friday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,Dinner,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
2637brew,2637brew-philadelphia,,"2637 W Girard Ave, Philadelphia, PA 19130",39.97448008,-75.18020911,,['Bars'],$$,126.0,N,N,Brewerytown,Closed,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,1:00 PM - 2:00 AM,12:00 PM - 2:00 AM,10:00 AM - 10:00 PM,,4.2,33.0,"Street Parking, Bike Parking","Friday, Saturday",Credit Cards,Veteran-owned,Dinner,,,"Trendy, Intimate, Hipster, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",True,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating",,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
2nd Street Brew House,2nd-street-brew-house-philadelphia,,"1700 S 2nd St, Philadelphia, PA 19148",39.92664,-75.1494,http://www.2ndstreetbrewhouse.com/,"['Pubs', 'American (Traditional)', 'Beer Bar']",$$,75.0,N,N,Pennsport,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,True,4.1,37.0,"Street Parking, Bike Parking","Wednesday, Friday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",,"Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,,Juke Box,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
48th Street Grille,48th-street-grille-philadelphia,https://www.yelp.com/reservations/48th-street-grille-philadelphia?from_reserve_now=1,"310 S 48th St, Philadelphia, PA 19143",39.95313,-75.21878,http://www.48thstreetgrille.com,['Caribbean'],$$,309.0,N,N,Garden Court,Closed,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,Closed,,4.3,44.0,"Street Parking, Bike Parking",,Credit Cards,"Women-owned, Black-owned",Dinner,"Offers Delivery, Offers Takeout, Offers Catering, Offers Military Discount",Vegan Options,"Classy, Casual, Moderate Noise","Open to All, Wheelchair Accessible",True,,Takes Reservations,Outdoor Seating,Dinner,,"Alcohol, Happy Hour","TV, Wi-Fi"
a.kitchen,a-kitchen-philadelphia-4,https://resy.com/cities/pha/a-kitchenandbar,"135 S 18th St, Philadelphia, PA 19103",39.950323,-75.170538,http://www.akitchenandbar.com/,['American (New)'],$$$,480.0,N,N,"Rittenhouse Square, Penn Center",4:30 PM - 9:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,,3.6,15.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Trendy, Classy, Moderate Noise","Open to All, Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,Outdoor Seating,,,Full Bar,"TV, Wi-Fi"
A La Mousse,a-la-mousse-philadelphia,,"145 N 11th St, Philadelphia, PA 19107",39.95497473,-75.15754111,https://alamousse.com,"['Desserts', 'Coffee & Tea', 'Bakeries']",$$,788.0,N,N,Chinatown,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,12:00 PM - 11:00 PM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 11:00 PM,,4.4,48.0,"Street Parking, Bike Parking, Private Lot Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",Gluten-Free Options,Moderate Noise,Gender-neutral restrooms,,Provides reusable tableware,,Outdoor Seating,,,,Wi-Fi
A Mano,a-mano-philadelphia,https://resy.com/cities/pha/a-mano,"2244 Fairmount Ave, Philadelphia, PA 19130",39.96723439,-75.17532116,http://amanophl.com,['Italian'],$$$,249.0,N,N,"Fairmount, Art Museum District",Closed,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 10:00 PM,,4.2,52.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Pescatarian Options, Vegetarian Options","Classy, Intimate, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,Outdoor Seating,,,"Alcohol, Happy Hour","TV, Wi-Fi"
Abyssinia,abyssinia-philadelphia,,"229 S 45th St, Philadelphia, PA 19104",39.95418731,-75.21169992,https://abyssiniaphilly.com,"['Ethiopian', 'Bars']",$$,340.0,N,N,"Spruce Hill, University City",10:00 AM - 2:00 AM,10:00 AM - 2:00 AM,10:00 AM - 2:00 AM,10:00 AM - 2:00 AM,10:00 AM - 2:00 AM,10:00 AM - 2:00 AM,10:00 AM - 2:00 AM,,3.6,35.0,"Street Parking, Bike Parking","Wednesday, Sunday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Classy, Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,,,Full Bar,"TV, Pool Table, Wi-Fi"
Aki Nom Nom,aki-nom-nom-sushi-and-ramen-philadelphia-3,https://www.opentable.com/r/aki-nom-nom-sushi-and-ramen-reservations-philadelphia?restref=1015834&lang=en-US,"1210 Walnut St, Philadelphia, PA 19107",39.9487415,-75.16115766,http://akisushi.com,"['Sushi Bars', 'Ramen']",$$,630.0,N,N,Washington Square West,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 12:00 AM,11:30 AM - 12:00 AM,11:30 AM - 10:30 PM,,3.5,58.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",True,,Takes Reservations,Outdoor Seating,Dinner,,"Happy Hour, Full Bar","TV, Wi-Fi"
Aksum Cafe,aksum-cafe-philadelphia-2,,"4630 Baltimore Ave, Philadelphia, PA 19143",39.9485809,-75.2161609,http://www.aksumcafe.com,"['Mediterranean', 'American (New)', 'Vegetarian']",$$,417.0,N,N,Cedar Park,Closed,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 5:00 PM,,3.7,35.0,"Street Parking, Bike Parking",,"Credit Cards, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout, Offers Military Discount","Vegan Options, Pescatarian Options, Vegetarian Options","Trendy, Classy, Moderate Noise",Gender-neutral restrooms,,,,Outdoor Seating,Dinner,,"Alcohol, Happy Hour","TV, Wi-Fi"
Alamodak Restaurant and Hookah Lounge,alamodak-restaurant-and-hookah-lounge-philadelphia-5,,"161 Cecil B Moore Ave, Philadelphia, PA 19122",39.97617,-75.13703,https://alamodakrestaurant.com,"['Middle Eastern', 'Hookah Bars']",$$,119.0,N,N,,4:30 PM - 12:00 AM,4:30 PM - 12:00 AM,Closed,4:30 PM - 12:00 AM,4:15 PM - 1:00 AM,4:15 PM - 1:00 AM,4:30 PM - 12:00 AM,,4.0,30.0,"Street Parking, Bike Parking, Private Lot Parking","Tuesday, Thursday, Friday","Credit Cards, Android Pay, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout, Offers Catering, Offers Military Discount",Vegan Options,"Romantic, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,"Plastic-free packaging, Compostable containers available","By Appointment Only, Takes Reservations","Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",Dinner,Live Music,"Happy Hour, Beer and Wine Only","TV, Pool Table, Wi-Fi"
Alice Pizza,alice-pizza-philadelphia-7,http://www.alicephilly.com/reservations,"235 S 15th Street, Philadelphia, PA 19102",39.9481842,-75.1660517,http://www.alicephilly.com,"['Pizza', 'Italian', 'Gelato']",$$,311.0,N,N,"Avenue of the Arts South, Rittenhouse Square",11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:30 AM - 9:00 PM,,4.3,70.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Trendy, Classy, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,Provides reusable tableware,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating","Dessert, Dinner",,"Happy Hour, Full Bar","TV, Wi-Fi"
Alif Brew & Mini Mart,alif-brew-and-mini-mart-philadelphia,,"4501 Baltimore Ave, Philadelphia, PA 19143",39.94917083,-75.2131685,,"['Cafes', 'Convenience Stores', 'Ethiopian']",,30.0,N,N,,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,,4.9,15.0,"Street Parking, Bike Parking",,"Credit Cards, Apple Pay",Black-owned,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,,"Wheelchair Accessible, Gender-neutral restrooms",,,,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",,,"Alcohol, Happy Hour","TV, Wi-Fi"
Allegro Pizza,allegro-pizza-philadelphia,,"3942 Spruce St, Philadelphia, PA 19104",39.95139,-75.20295,http://www.allegropizza.com,"['Pizza', 'Italian', 'American (Traditional)']",$,244.0,N,N,University City,10:00 AM - 12:00 AM,10:00 AM - 12:00 AM,10:00 AM - 12:00 AM,10:00 AM - 3:00 AM,10:00 AM - 3:00 AM,10:00 AM - 3:00 AM,10:00 AM - 12:00 AM,,3.0,35.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Limited Vegetarian Options","Classy, Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,,,Beer and Wine Only,"TV, Wi-Fi"
Alma Del Mar,alma-del-mar-philadelphia,https://www.almadelmar.net/reservations,"1007 S 9th St, Philadelphia, PA 19147",39.93730994,-75.15801016,https://www.almadelmar.net,"['Breakfast & Brunch', 'Sandwiches', 'Seafood']",,104.0,N,N,"Italian Market, Bella Vista",8:00 AM - 3:00 PM,Closed,Closed,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 3:00 PM,,4.7,38.0,"Street Parking, Bike Parking",,Credit Cards,Latinx-owned,Dinner,"Offers Delivery, Offers Takeout",Vegetarian Options,Casual,Wheelchair Accessible,,,,"Outdoor Seating, Covered Outdoor Seating",,,Alcohol,Wi-Fi
Alpen Rose,alpen-rose-philadelphia,https://resy.com/cities/pha/alpen-rose?date=2021-01-28&seats=2,"116 S 13th St, Philadelphia, PA 19107",39.949778,-75.16215384,https://www.alpenrosephl.com,"['Steakhouses', 'Seafood']",,237.0,N,N,Avenue of the Arts South,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 10:00 PM,,4.4,54.0,Garage Parking,,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Limited Vegetarian Options, Keto Options","Classy, Intimate, Upscale, Dressy",,,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating",,,Full Bar,TV
Amada,amada-philadelphia,https://www.opentable.com/restaurant/profile/5129/reserve?ref=939,"217-219 Chestnut St, Philadelphia, PA 19106",39.9485657,-75.1448374,http://www.amadarestaurant.com,"['Tapas Bars', 'Spanish', 'Iberian']",$$,2259.0,N,N,Old City,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,,4.2,90.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Pescatarian Options, Vegetarian Options","Trendy, Moderate Noise",,,,Takes Reservations,"Outdoor Seating, Private Dining",,,"Happy Hour, Full Bar","TV, Wi-Fi"
Amari's Restaurant,amaris-restaurant-philadelphia,,"5037 Baltimore Ave, Philadelphia, PA 19143",39.9479848,-75.2247445,http://amarisrestaurant.com,"['American (New)', 'Soul Food', 'Seafood']",$,62.0,N,N,,Closed,Closed,7:30 AM - 3:00 PM,7:30 AM - 3:00 PM,7:30 AM - 3:00 PM,7:30 AM - 3:00 PM,7:30 AM - 3:00 PM,,3.7,34.0,"Street Parking, Bike Parking",,"Credit Cards, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegetarian Options,"Casual, Moderate Noise",Wheelchair Accessible,,,Takes Reservations,Outdoor Seating,"Lunch, Brunch, Dinner",,Beer and Wine Only,"TV, Wi-Fi"
Amasi Restaurant and Hookah,amasi-restaurant-and-hookah-philadelphia-3,,"1731 Cecil B Moore Ave, Philadelphia, PA 19121",39.979628,-75.163833,,"['Mediterranean', 'Hookah Bars']",$$,29.0,N,N,,Closed,4:00 PM - 1:00 AM,4:00 PM - 1:00 AM,4:00 PM - 1:00 AM,4:00 PM - 2:00 AM,4:00 PM - 2:00 AM,4:00 PM - 12:00 AM,True,3.6,29.0,"Street Parking, Bike Parking","Friday, Saturday, Sunday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Casual, Quiet","Wheelchair Accessible, Gender-neutral restrooms",,,"Walk-ins Welcome, Takes Reservations",Outdoor Seating,,,Alcohol,"TV, Pool Table, Wi-Fi"
Amazing Crab House,amazing-crab-house-philadelphia,,"604 S 2nd St, Philadelphia, PA 19147",39.9410105,-75.14590517,http://www.amazingcrabhouse.com,"['Seafood', 'Sports Bars', 'Southern']",,71.0,N,N,"South Street District, Queen Village, Society Hill",12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 10:00 PM,,4.4,40.0,Street Parking,Saturday,"Credit Cards, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout",,"Casual, Moderate Noise",Wheelchair Accessible,,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Wi-Fi"
Ambassador,ambassador-philadelphia,,"635 W Girard Ave, Philadelphia, PA 19122",39.970761,-75.147969,https://ambassador635.com,"['Cocktail Bars', 'Falafel', 'Sports Bars']",,39.0,N,N,,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 12:00 AM,True,3.8,22.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegan Options,"Trendy, Intimate, Casual",Wheelchair Accessible,,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating",,Live Music,"Happy Hour, Full Bar","TV, Wi-Fi"
Ambrosia Ristorante BYOB,ambrosia-ristorante-byob-philadelphia,,"231 S 24th St, Philadelphia, PA 19103",39.94997,-75.1796,http://ambrosiabyob.com,['Italian'],,231.0,N,N,"Fitler Square, Rittenhouse Square",11:30 AM - 2:00 PM,11:30 AM - 2:00 PM,11:30 AM - 2:00 PM,11:30 AM - 2:00 PM,11:30 AM - 2:00 PM,11:30 AM - 2:00 PM,11:30 AM - 2:00 PM,,4.5,43.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Military Discount","Vegan Options, Vegetarian Options","Trendy, Classy, Intimate, Romantic, Casual, Moderate Noise","Open to All, Wheelchair Accessible, Gender-neutral restrooms",True,,Takes Reservations,Outdoor Seating,Dessert,,"Alcohol, Happy Hour","TV, Wi-Fi"
American Sardine Bar,american-sardine-bar-philadelphia,,"1800 Federal St, Philadelphia, PA 19146",39.936536,-75.17375,http://www.americansardinebar.com/,"['Bars', 'American (New)', 'Venues & Event Spaces']",$$,379.0,N,N,Point Breeze,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,,4.0,42.0,"Street Parking, Bike Parking","Wednesday, Friday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Hipster, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,"Outdoor Seating, Drive-Thru",,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
AmeriThai,amerithai-philadelphia,,"1244 Snyder Ave, Philadelphia, PA 19148",39.92394941,-75.16745752,https://amerithaitogo.com,['Thai'],$$,126.0,N,N,,Closed,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 9:00 PM,,4.1,46.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Casual, Quiet",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,Dinner,,Alcohol,"TV, Wi-Fi"
Amina,amina-philadelphia-2,https://www.opentable.com/restaurant/profile/1239313/reserve?ref=9169,"104 Chestnut St, Philadelphia, PA 19106",39.948127,-75.14276525,http://aminaphilly.com,['Southern'],,131.0,N,N,Old City,Closed,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,10:00 AM - 12:00 AM,10:00 AM - 10:00 PM,,4.0,62.0,Street Parking,,,,Dinner,"Offers Delivery, Offers Takeout",,"Trendy, Classy, Intimate, Romantic, Upscale, Casual, Moderate Noise",,,Provides reusable tableware,Takes Reservations,Outdoor Seating,Dessert,,Full Bar,
Anastasi Seafood,anastasi-seafood-philadelphia-2,,"1039 S 9th St, Philadelphia, PA 19147",39.93654,-75.1582,http://www.anastasiseafood.com,['Seafood'],$$,298.0,N,N,"Italian Market, Bella Vista",9:00 AM - 5:00 PM,9:00 AM - 6:30 PM,9:00 AM - 6:30 PM,9:00 AM - 6:30 PM,9:00 AM - 7:30 PM,9:00 AM - 7:30 PM,9:00 AM - 6:00 PM,,4.0,38.0,"Street Parking, Bike Parking",,Credit Cards,Women-owned,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Limited Vegetarian Options","Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Private Dining, Drive-Thru",Dinner,,"Alcohol, Happy Hour","TV, Wi-Fi"
Ancient Spirits & Grille,ancient-spirits-and-grille-philadelphia,https://www.opentable.com/restaurant/profile/1177882/reserve?ref=9169,"1726 Chestnut St, Philadelphia, PA 19103",39.9515042,-75.1698515,https://asgphilly.com,"['Lounges', 'Cocktail Bars', 'Modern European']",$$,73.0,N,N,"Penn Center, Rittenhouse Square",11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 10:00 PM,True,3.7,58.0,Bike Parking,,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegetarian Options,"Classy, Casual",Wheelchair Accessible,,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining",,,"Happy Hour, Full Bar","TV, Wi-Fi"
&pizza - Rittenhouse,and-pizza-rittenhouse-philadelphia-2,,"213 S 15th St, Philadelphia, PA 19102",39.94904,-75.16586,https://andpizza.com/locations/rittenhouse/,"['Pizza', 'Vegan', 'Vegetarian']",$$,411.0,N,N,"Avenue of the Arts South, Rittenhouse Square",11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 3:00 AM,11:00 AM - 3:00 AM,11:00 AM - 11:00 PM,,4.3,33.0,"Street Parking, Bike Parking",,"Credit Cards, Android Pay",,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Trendy, Classy, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,,Dinner,,"Alcohol, Happy Hour","TV, Wi-Fi"
"Angelino's Restaurant, Fairmount- Philadelphia",angelinos-restaurant-fairmount-philadelphia-philadelphia-6,,"849 N 25th St, Philadelphia, PA 19130",39.9712971,-75.1776345,https://angelinosfairmount.com,"['Pizza', 'Italian']",$$,227.0,N,N,"Fairmount, Brewerytown",Closed,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,,3.9,50.0,"Street Parking, Bike Parking",,Credit Cards,"Women-owned, Latinx-owned",Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegetarian Options,"Casual, Moderate Noise","Open to All, Wheelchair Accessible, Gender-neutral restrooms",,"Provides reusable tableware, Bring your own container allowed",Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",Dinner,,"Alcohol, Happy Hour","TV, Wi-Fi"
Angelo's Pizzeria,angelos-pizzeria-philadelphia,,"736 S 9th St, Philadelphia, PA 19147",39.94065,-75.15772,https://angelospizzeriasouthphiladelphia.com,"['Pizza', 'Sandwiches', 'Cheesesteaks']",$$,672.0,N,N,"Bella Vista, Italian Market",Closed,Closed,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,,4.5,46.0,Street Parking,,,,Dinner,"Offers Delivery, Offers Takeout",Limited Vegetarian Options,"Casual, Loud",,,,Takes Reservations,,Dinner,,"Alcohol, Happy Hour","TV, Wi-Fi"
Anna Restaurant,anna-restaurant-philadelphia,,"304 S 52nd St, Philadelphia, PA 19143",39.95437996,-75.22633977,https://annasrestaurantphiladelphia.com,"['African', 'American (Traditional)']",,16.0,N,N,,Closed,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,,4.6,14.0,,,,,Dinner,"Offers Delivery, Offers Takeout",,,,,,,,,,,TV
Apricot Stone,apricot-stone-philadelphia-4,https://resy.com/cities/philadelphia-pa/venues/apricot-stone,"1040 N American St, Ste 601, Philadelphia, PA 19123",39.96733159,-75.14044419,http://www.apricotstonephilly.com,"['Mediterranean', 'Middle Eastern', 'Armenian']",$$,353.0,N,N,Northern Liberties,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,Closed,,4.5,52.0,"Street Parking, Bike Parking",,"Credit Cards, Android Pay, Apple Pay",Women-owned,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Casual, Moderate Noise","Open to All, Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Drive-Thru",Dessert,,"Alcohol, Happy Hour","TV, Wi-Fi"
Arctic Scoop,arctic-scoop-philadelphia,,"1812 E Passyunk Ave, Philadelphia, PA 19148",39.927457,-75.166521,,['Ice Cream & Frozen Yogurt'],$$,201.0,N,N,East Passyunk Crossing,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 10:00 PM,,4.7,42.0,"Street Parking, Bike Parking",,"Credit Cards, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout",,,Gender-neutral restrooms,True,,,Drive-Thru,,,,Wi-Fi
ArtBar at Sonesta Hotel,artbar-philadelphia,mailto:reservations@sonesta.com,"1800 Market St, Philadelphia, PA 19103",39.9530129,-75.1701856,https://www.sonesta.com/sonesta-hotels-resorts/pa/philadelphia/sonesta-philadelphia-rittenhouse-square#hoteldetails_dining,"['Hotels', 'Coffee & Tea', 'Lounges']",$$,38.0,N,N,"Penn Center, Rittenhouse Square",6:30 AM - 2:00 AM,6:30 AM - 2:00 AM,6:30 AM - 2:00 AM,6:30 AM - 2:00 AM,6:30 AM - 2:00 AM,6:30 AM - 2:00 AM,6:30 AM - 2:00 AM,True,2.8,56.0,"Bike Parking, Valet Parking",Saturday,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",,"Casual, Quiet",Wheelchair Accessible,,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
